"¥éË""COU""",Country,IND,Indicator,SEX,AGE,Age Group,TIME,Unit Code,Unit,PowerCode Code,PowerCode,Value
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,38
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,36.7
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,36.6
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,37.8
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,14.2
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,13.8
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,13.1
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,13.1
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,13.3
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,12.9
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,13.4
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,13
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,12.3
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,11.4
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,11.5
AUT,Austria,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,12.5
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,51.8
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,53
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,52.6
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,52.9
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,57
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,55
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,54.3
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,55.2
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,56.7
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,57.9
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,58
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,56.9
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,79.3
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,79.9
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,80.8
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,81.1
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,81.6
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,81.8
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,81.3
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,81.3
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,82.5
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,83.3
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,83.5
AUT,Austria,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,82.8
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,2
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,1.9
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,1.7
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,1.6
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,1
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,1
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,0.9
BEL,Belgium,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,0.9
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,36.3
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,34.7
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,34.3
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,34.5
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,10.3
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,9.7
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,10.1
BEL,Belgium,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,9.7
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,61.8
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,63.4
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,63.9
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,63.9
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,88.7
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,89.3
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,89
BEL,Belgium,EMP13_S,"Share of employed working in services, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,89.4
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,4.5
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,3.9
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,3.8
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,3.9
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,3.7
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,3.7
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,3.6
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,3.4
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,3.3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,3.3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,3.1
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,1.9
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,1.6
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,1.6
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,1.5
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,1.5
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,1.6
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,1.6
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,1.5
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,1.3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,1.3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,1.3
CAN,Canada,EMP13_A,"Share of employed working in agriculture, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,1.2
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,32.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2001,PC,Percentage,0,Units,32.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2002,PC,Percentage,0,Units,32.3
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2003,PC,Percentage,0,Units,32
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2004,PC,Percentage,0,Units,32.3
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2005,PC,Percentage,0,Units,32.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2006,PC,Percentage,0,Units,31.5
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2007,PC,Percentage,0,Units,31
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2008,PC,Percentage,0,Units,31.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2009,PC,Percentage,0,Units,30
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2010,PC,Percentage,0,Units,30
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",MEN,TOTAL,Total,2011,PC,Percentage,0,Units,29.8
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2000,PC,Percentage,0,Units,11.2
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2001,PC,Percentage,0,Units,11.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2002,PC,Percentage,0,Units,11.3
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2003,PC,Percentage,0,Units,11.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2004,PC,Percentage,0,Units,11.1
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2005,PC,Percentage,0,Units,10.6
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2006,PC,Percentage,0,Units,10.3
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2007,PC,Percentage,0,Units,10
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2008,PC,Percentage,0,Units,9.6
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2009,PC,Percentage,0,Units,8.8
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2010,PC,Percentage,0,Units,8.4
CAN,Canada,EMP13_I,"Share of employed working in industry, by sex",WOMEN,TOTAL,Total,2011,PC,Percentage,0,Units,8.8
CAN,Canada,EMP13_S,"Share of employed working in services, by sex",MEN,TOTAL,Total,2000,PC,Percentage,0,Units,63.4
